,Language,0
34,Algonquin,1
12,Arabic,3
11,Brazilian Sign Language,3
14,Cantonese,3
28,Chinese,1
18,Croatian,2
37,Czech,1
25,Dutch,2
0,English,557
1,French,30
3,German,17
15,Greek,3
21,Hawaiian,2
13,Hindi,3
35,Icelandic,1
38,Indonesian,1
24,Inuktitut,2
36,Irish,1
4,Italian,11
6,Japanese,6
9,Korean,4
39,Latin,1
5,Mandarin,7
33,Nama,1
32,None,1
40,North American Indian,1
16,Norwegian,3
23,Polish,2
10,Portuguese,3
29,Romanian,1
7,Russian,4
17,Serbian,2
2,Spanish,20
22,Swahili,2
19,Swedish,2
20,Turkish,2
30,Ukrainian,1
31,Vietnamese,1
8,Xhosa,4
27,Yiddish,1
26,Zulu,1
