,Language,0
40,Abkhazian,1
42,Albanian,1
34,Algonquin,1
23,American Sign Language,2
11,Arabic,6
39,Bengali,1
19,Brazilian Sign Language,3
17,Cantonese,4
18,Chinese,4
38,Croatian,1
27,Czech,2
24,Dutch,2
0,English,851
1,French,34
3,German,18
20,Greek,3
22,Hawaiian,2
52,Hebrew,1
10,Hindi,6
35,Hungarian,1
26,Indonesian,2
50,Inuktitut,1
30,Irish,1
4,Italian,11
6,Japanese,9
37,Kazakh,1
47,Klingon,1
12,Korean,5
43,Kurdish,1
53,Latin,1
5,Mandarin,9
31,Mongolian,1
45,Nama,1
7,None,9
14,Norwegian,5
41,Persian,1
46,Polish,1
9,Portuguese,7
32,Romanian,1
8,Russian,7
33,Serbian,1
2,Spanish,31
16,Swahili,4
15,Swedish,4
36,Telugu,1
44,Thai,1
49,Tibetan,1
21,Turkish,3
28,Ukrainian,1
48,Urdu,1
29,Vietnamese,1
13,Xhosa,5
51,Yiddish,1
25,Zulu,2
