,Language,0
65,Aboriginal,8
110,Acholi,2
40,Afrikaans,29
101,Akan,3
74,Albanian,7
162,Algonquin,1
42,American Sign Language,24
122,Amharic,2
92,Ancient (to 1453),4
123,Apache languages,2
11,Arabic,256
138,Aragonese,1
116,Aramaic,2
79,Armenian,6
151,Aromanian,1
88,Assamese,4
153,Awadhi,1
143,Azerbaijani,1
53,Basque,13
131,Belarusian,2
41,Bengali,28
167,Berber languages,1
100,Bhojpuri,3
78,Bosnian,6
159,Brazilian Sign Language,1
134,Breton,1
69,Bulgarian,8
117,Burmese,2
10,Cantonese,291
49,Catalan,17
161,Cheyenne,1
22,Chinese,90
164,Cornish,1
83,Croatian,5
17,Czech,145
20,Danish,102
94,Dari,4
170,Dinka,1
177,Divehi,1
15,Dutch,161
144,East-Greenlandic,1
87,Egyptian (Ancient),4
0,English,6284
80,Esperanto,5
86,Estonian,4
165,Faroese,1
24,Filipino,85
48,Finnish,18
62,Flemish,8
3,French,895
118,French Sign Language,2
175,Fulah,1
152,Gallegan,1
57,Georgian,10
4,German,549
35,Greek,39
119,Greenlandic,2
58,Gujarati,10
154,Haitian,1
147,Hakka,1
91,Hausa,4
76,Hawaiian,7
27,Hebrew,69
5,Hindi,495
160,Hmong,1
43,Hokkien,24
29,Hungarian,61
75,Ibo,7
63,Icelandic,8
21,Indonesian,93
98,Inuktitut,4
54,Irish,12
7,Italian,432
1,Japanese,1080
105,Japanese Sign Language,3
60,Kannada,9
133,Kazakh,1
70,Khmer,8
155,Kikuyu,1
104,Kinyarwanda,3
84,Klingon,5
6,Korean,451
112,Korean Sign Language,2
168,Kriolu,1
97,Kurdish,4
130,Lao,2
23,Latin,88
82,Latvian,5
95,Lingala,4
127,Lithuanian,2
128,Luxembourgish,2
30,Malay,54
33,Malayalam,47
148,Malinka,1
137,Maltese,1
8,Mandarin,387
115,Manipuri,2
99,Maori,3
179,Mapudungun,1
39,Marathi,31
136,Maya,1
173,Mende,1
52,Min Nan,13
109,Mixtec,2
150,Mohawk,1
73,Mongolian,7
166,Nahuatl,1
135,Nama,1
169,Navajo,1
107,Neapolitan,3
158,Nepali,1
38,None,32
93,North American Indian,4
28,Norwegian,66
113,Nyanja,2
102,Old English,3
125,Papiamento,2
141,Parsee,1
129,Pawnee,2
45,Persian,21
14,Polish,166
140,Polynesian,1
12,Portuguese,199
32,Punjabi,49
66,Pushto,8
85,Quechua,5
180,Quenya,1
19,Romanian,106
64,Romany,8
9,Russian,300
90,Saami,4
51,Sanskrit,14
172,Scanian,1
121,Scots,2
68,Scottish Gaelic,8
47,Serbian,19
67,Serbo-Croatian,8
89,Shanghainese,4
163,Shoshoni,1
124,Sicilian,2
72,Sign Languages,7
103,Sindarin,3
108,Sinhalese,3
126,Sioux,2
46,Slovak,19
149,Slovenian,1
81,Somali,5
96,Southern Sotho,4
2,Spanish,912
139,Spanish Sign Language,1
120,Sranan,2
50,Swahili,17
18,Swedish,139
59,Swiss German,9
174,Syriac,1
26,Tagalog,81
114,Tajik,2
25,Tamil,84
171,Tarahumara,1
145,Tatar,1
36,Telugu,35
142,Teochew,1
13,Thai,171
71,Tibetan,7
146,Tok Pisin,1
156,Tswana,1
157,Tulu,1
178,Tupi,1
16,Turkish,149
176,Turkmen,1
31,Ukrainian,50
34,Urdu,42
111,Uzbek,2
37,Vietnamese,33
132,Wayuu,1
106,Welsh,3
77,Wolof,6
61,Xhosa,9
44,Yiddish,22
56,Yoruba,11
55,Zulu,12
