Language,Netflix,Prime,Disney+
Algonquin,8,9,1
Arabic,256,90,3
Brazilian Sign Language,1,1,3
Cantonese,291,127,3
Chinese,90,36,1
Croatian,5,12,2
Czech,145,21,1
Dutch,161,47,2
English,6284,10088,557
French,895,522,30
German,549,341,17
Greek,39,25,3
Hawaiian,7,5,2
Hindi,495,424,3
Icelandic,8,13,1
Indonesian,93,13,1
Inuktitut,4,4,2
Irish,12,5,1
Italian,432,352,11
Japanese,1080,195,6
Korean,451,126,4
Latin,88,47,1
Mandarin,387,268,7
None,32,19,1
North American Indian,4,2,1
Norwegian,66,23,3
Polish,166,43,2
Portuguese,199,61,3
Romanian,106,17,1
Russian,300,157,4
Serbian,19,18,2
Spanish,912,493,20
Swahili,17,8,2
Swedish,139,58,2
Turkish,149,34,2
Ukrainian,50,19,1
Vietnamese,33,12,1
Xhosa,9,2,4
Yiddish,22,16,1
Zulu,12,3,1
