Main Title,Full Review
Good Catalogue,Easy to use app with good watch recommendations. Go to app for sports enthusiast. Disneyplus is added bonus.   
Very bad experience fraud hotstar,It's frudhotstar it's my request people to not use thisapp I have too watchlive match for that I paid online   
Disney + Hotstar waste of money,I really took the subscription for a year just to watch one movie “XYZ—- in my mother tongue Kannada” but I really hate the decision as they simply put ads in between and I really hate it….     I always believed that paying for a subscription means that you get to watch the movies or series that you want to watch un-interrupted.     if I have to pay up for subscription honestly as a subscriber and have to spoil my viewing time with bullshit ads then I would better search the movie for a pirated version or anywere online….     I feel that Disney+hotstar is trying to make more money through ads than the actual subscription chagrges….   
Only IPL is there and too much add,There are too many ads pop up and it shows only IPL. It should show at least Indian cricket live matches.   
VIP membership is froud,I have been using hotstar since it launched its was vey good then but now it became an market of advertisement. Even I have bought there VIP membership they show me around 16-18 advertisement per movie and those ads are around 35-36 minutes long and not skippable. Believe me they will frustrate you down to hell. And no Hollywood movie is in English for VIP members. I don't know waht is the use of this VIP membership. They just fool you around. I wish Amazon or some other company to buy digital rights of cricket matches so I can get over Hotstar ASAP.   
Rumy add,Pathetic irritating rumy add.plz remove it.feel like breaking the phone whenever it pops up in between a show.plz remove...ghatiya add.   
Good,Hotstar app make me very happy because everything I can watch in this app.me and family like this app and I share many friends to join   
Too much ads,Too muchs ads     50 percent time is wasted in ads     Never to use this app     Not even a single episode can be watched without 50 percent ads   
Overall good app,Disney hotstar app looks very organized and performance wise does the job well. IPL and other cartoon movies are best attraction of this app. Subscription plans are reasonable. Overall good app.   
Hotstar review | good review,Hello friends hostar is the world best platform from watching cricket videos. I do hostar for half the time throughout the day. This application provides Full 4K and HD video. We can watch live cricket anytime anywhere. Very good features and services is also very good. I also have a use hotstar application. This application is better than all other applications. I recommend people to do this application.   
Worst app ever,Streaming is very poor. It has lot of issues. Don't go with this one. It's always keep on buffering even I'm using 150 mbps   
Fabulous,Hotstar is a great app for online streaming . It has a huge number of content to see like Game Of Thrones Criminal justice 1962 etc. It's also well used for IPL streaming . It's subscription cost is affordable for all .   
Ads every time I pause the video is nonsense,Very bad experience. A complete idiot app. Ad comes every time we pause the video. Also after ad the video is disappearing with a black screen. We have to replay from watchlist. Whoever developed this app inefficient   
Do not buy hotstar subscription,Yesterday I bought the hotstar subscription to watch t20 live match between India and England. But I never see anything on my screen. I means just loading..loading and loading.. waste of money.. I wish I could ask for my refund.     Btw My internet speed is over 100 Mbps.   
Extreme buffering and unstabl video streaming,My internet is 100 MBPs and Hotstar doesn't stop buffering for even 15 sec at a strech.     PS: I don't face this issue with Netflix and Prime which run smoothly.   
Hotstar.....,Its a vry nice app.i live to see my fav shows on it .its a bag of entainment. u can watch ur shows anytimes on this app.its free but can watch yr show a day after.if u want to see ur shows before its coming on tv u can pay for it nd can see ur shows before it comes on tv.nd can also watch d latedt movies after paying .but I u want to see it free thn u have yo wait for it. U can watch tv serials sports channel news etc .on this app.     . Overall I really loved it .due to my busy schedule I cant watch my shows on tv so I love to watch my shows on this app anytime when I get free.excpt this I can watch movies  news etc.i hope this review hlp u a lot   
This bagger is irritating again again,This bagger is irritating again again we are already paying so why this bagger showing adds twice at time thats too much.   
An Average Application,I have been using this app daily and with my personal experience I would rate this app with an average star. This app is good for the tv serials movies and etc. It's qulaity is also perfect shows the results in hd quality. The main problem with this app is that it always require an update as well as for every thing it demand charge means subscription. Suppose my family used to see the tv serial of the same day in same timing but then also it asked for subscription. So if you want to spend money then only I would say this app would be good for them. There are several other app that shows the serial and movies on the same day in same timing. Therefore why would I pay to watch. This is the major issue with this hotstar app.   
Definitely download it,I am user of hotstar I baught the subsrision of hotstar it is too much best from my view. It have good and user friendly interface thats why any one can use it we can watch to many movies without buying subsrision the picture caulity is also good and about subsrision it is also to low price vip subsrision is is at 399 its best for content all new realize movies are coming and allderedy came on hotstar frist it is best then Netflix   
India's best app hotstar,The hotstar app is to good because this every seriels and movies available are full hd quality and injoyed every day   
Cheap Hotstar,Hotstar iam paying direct to you then y the damn adds man?     So cheap...................................   
Hotstar the new big bull !!!,Since hotstar has now combined with Disney the contents of hotstar are drastically improved. The yearly subscriptions of Disney+ hotstar you'll get it for only 299 rupees compared to other ott platforms this price is very low. If you are more into hindi movies and serials then this is one of the best options for you. And now all of us can see most of the big movies which were supposed to release in theatres but due to covid couldn't release are now released on hotstar. IPL also streams only on hotstar app which makes hotstar a little more prefreable. It doesn't have many original series but it goes contains whole Marvel universe and Disney movies which is quite amazing like who doesn't like marvel or Disney shows.So overall Hotstar is one of the brands which is going to go very big sinces it is acquiring all the big movies in the market and also IPL. So I would suggest get the subscription of hotstar before it rises it's price and enjoy.   
