Main Title,Full Review
Needs More Titles,Netflix is supposed to be the one-stop- shop for all types of visual entertainment. However Netflix India lacks range and diversity. Several TV shows and movies are missing from Netflix India which are available in other countries— so India is missing out on some quality cinema.     Some functional errors on the website and app make the platform a user nightmare. The search option shows titles which are unavailable which is very disappointing.     Overall for a subsription plan like Netflix’s I was expecting a lot more diversity and choices which was not the case. Hope they upgrade their services for India.   
BEST EXPERIENCE EVER!!!,The Best Streaming Service Comparing To All Others.     The Good Thing Is How They Classify The Genre & Matches & Suggest Movies Based on our Watch History.     The Library Of Tv Show Movies & Series Has The Original Content.     They Can Update There Subscriptions For Annual Payment Also As They Only Supports Monthly Payments But The Good Point Is They Provide Gift Cards To My Account.     Different Subscriptions Plan Is Also A Good Options Given As It Is Well Said That Netflix and Chill     Just Download Whatever You Want & Watch It Without Any Internet Connection.   
Loaded with Good Shows but Poor Service,I have used netflix on both mobile app and a website version too but there are some very silly problems that I wish it didn't had.     Problems -        The app lacks basic functionality to change volume level. You have to do it manually using buttons. It is not given on screen.        The search option both on site and app does not work properly. The shows present in netflix dont appear on search results and have to be browsed.        The search option takes quite a long time to search and show the results.        The app somtimes hang for no reason at all. You are watching a movie or a series and in midst of that it will just hang but sound will continue to come.        Netflix has some great shows and movie series but there are some movies missing from the several movie series.        Netfilx India lacks so many great movies and shows which are available in other countries.        The subscription plans of netflix are very costly. Netflix says that it's base plan starts from 199 a month. Sounds good but it is actually 2 times costlier than disnep+ hotstar.        The subscription plans are very confusingly written and executed. Hard for a new person to get in to watching netflix.        Netflix has started including anime which sounds great but still the number of anime available is still less.           Overall though I like watching netflix but I am not at happy with it's features functioning and service both in website and app. NETFLIX can actually DO BETTER !   
Good service but issue with payments,I like watching netflix but somehow not able to solve the auto debit payment method.     I use a SBI card but they do not take it as a valid method of payment to cut every month.     I have to always add my card again and pay each month.     otherwise love their service   
Star of Entertainment,Netflix is the best platform that connects people from all over the globe.     As an Indian I only watched Hindi films or Hindi web shows. But then I began watching Spanish Portuguese and Italian movies. I completely forgot to watch a Hindi movie.     What talent what plot and most importantly what actor. I thank Netflix for introducing such web series and films. Because if I hadn't seen other language films I would have never met a real talent.     Netflix delivers three streaming plans: Basic Standard and Premium. The plan you choose will decide how many devices you can monitor. The payment is monthly and the collections of movies in front of your eyes. Even the quality of each film animation web series documentary shows of extremely theatrical quality. The sound and colour give you a theatrical impression.     You also get a movie trailer coming up too if you're interested you can add those movies to your list. SO when the movie is available it will be straight on your list.     You can easily classify your films according to your tastes and age. It has a parental lock as well. So no need to worry kids won't be able to watch an adult movie.     Netflix boasts a variety of collections in children's films as well. Anytime you can switch on Netflix and choose what you like to watch. Even if you watched half a movie don't worry you can pick up the movie where you left it last time.     All those film enthusiasts what are you waiting for? Join Netflix now and take advantage of its free trial. I guarantee you will go insane and you will love it.     Personally I am asking Netflix for one thing that please add some black and white Bollywood movie collections and complete your platform.   
Money stealer,They dont allow'auto renewal' to be set off. Till Nov last year I was paying monthly. But suddenly without any confirmation they start deducting money from my account. WITHOUT ANY CONFIRMATION FROM ME. And when I asked them why they are doing so then their customer care straightway says its our policy. How you take money from my bank account without having my consent?   
A genuine app for web series lovers,It's a nice app i have been using it for quite some time and I don't find any fault... Though it requires a very high internet connection because of which i would give it 4 stars and also the prices are reasonable...   
Netflix| review | A Better Platform|,Website- Netflix.com     Netflix is an American over-the-top content platform also it's a production company. It is founded by Reed Hastings Marc Randolph in 1997. Netflix is the best platform for watching shows series & movies even they produced their own shows also. On this website we can see International & Indian content at the same time.     I have been using Netflix for the past several months & I love their content. It also has a Netflix app for android & iOS users. The service of Netflix is very good I am very impressed by their service. Netflix shows are very well it reflects the modern Indian community.     Netflix shows are very good but at the same time some of the Indian series is below the average. So sometimes I am disappointed by these shows. But the International contents are marvelous.     Netflix has a completely optimized app. The quality of the videos is very impressive.     Netflix is more & more popular day by day. And I recommended this to all adults.     Thank you for reading this review.     Please like this review.   
Netflix my favourite binge app,I have been using netflix from past six months all in all its a nice app for binge watching but nothing is perfect same is the case with this app so I will divide my review in pros and cons.     Pros:     1.variety of shows.     2.great interface.     3.good shows.     4.trusted app.     Cons:     1.not free.     2.limited downloads and screens for budget plans.     3.frequency of uploading indian shows is less.     In the end I will conclude among all it is the best but nothing is perfect there is always scope for improvement.   
Source of Entertainment,Netflix is the best platform for watching shows and movies. Video quality is superb. We can watch international & national serial anytime and anywhere.   
A Online store of web series and movies,Netflix is run by Amazon company. But it has prime membership subscription. I personally used Netflix for 6 months. It has its own production team. All the types of web series and movies I can find here. Currently I watched mirzapur season 3. Flash and some other web series. We can also download the shows offline.   
Very bad experience.,I am a premium subscriber of netflix. Last month my premium I'd of netflix is restored automatically. I am disappointed in the service of netflix. I sent many times complaint about restored my ID to netflix but no response. So I am very disappointed and broke my smart phone. Buffering process is also very bad in this netflix. Many times it became slow or shut the phone in background. It's premium features are also very bad performance. Phone is heat up in half an hour. So I gave only one star for this disgusted netflix.   
Netflix,Live stream is one of the newest thing we have to be able to watch while we're away from home. Netflix has great quality service. You can binge watch series that you may have wanted to watch but didn't want to watch from season 4. Just start it at season 1 and go. Don't have to be at home you just take it with you. Sit outside by your pool and still watch your favorite movie. Netflix is up on new movies. Adding new ones everyday. They also show you what you might be interested in by what you watch. A big variety of new movies and series as well as old ones you might have forgotten. Need to take advantage of Netflix versus cable or satellite TV.   
A nice place to watch movies,Its incredible the mass of series and movies in this site the best site of Streaming in all senses the only thing I see it is the fact that has blocked some series and movies in my country.   
Dirty app will spoil India Future,Netflix should be close have dirty series nd it will misguide to every person.....................so close it   
Costly And Not Worth,I want to share my personal experience on netflix.com .Netflix is very costly and and give less variety of content most of them are 18+ . I tried 1 month ffree trial but paying 649RS is not worth it to pay try other app but do not go for the subscription it is waste of money all of them give 18+ content which is not good for children.     I am also a student and I watch hot scene with my parents that is not for me at all     Boycott netflix   
Bulbbul,Well this review is regarding the new movie on netflix i.e. bulbbul. I really loved the movie especially the story line was really amazing. All the actor has done a great job. It was worth watching Rahul Bose after so long.   
Creative Content But a bit Expensive.,Netflix is becoming more and more popular day by day beacuse it is making contents in regional languages which attracts more crowd. the contents are for all age roups and mostly for all types of taste. I love it.   
Superb,One of the best app. The content is really amazing the video works really fine and the quality of the video is tremendous.     It also manage to run on slow internet that's wat I like about it   
Netflix,I had an terrible experience with Netflix.It is one of the worst app in terms of access It takes a lot of time to open and load content on netflix.The app keeps on logging out automatically.The app was ok before but lately since the new update I have exeperienced a lot of problems.Mainly I am sad because all of my downloads randomly got deleted.This is very annoying.Sometimes Picture quality on netflix is very low with hazy and unstable audio.Unlike other apps like hulu there is no frequent update in the library of TV shows and series.If you like to watch TV show than Netflix won't be the best option for you.Some of the shows on Netflix are highly boring.Netflix consumes huge amount of data It can eat up more than 1GB/hour depending on how much quality you demands while watching movies and TV shows.Netflix has a high subscription value which is not affordable by everyone.Netflix is very slow it takes lot of time to stream video on netflix.Some of the limitations of Netflix are as follows.     1) .AVAILABILITY OF SHOWS - If there is a show on TV you love to watch the latest episode of it will not be available on netflix right away even though its previous seasons will be steaming on netflix.     2) .CUSTOMER SERVICE - I really had an terrible experience with their customer executives.Netflix Customer care executive are really ruthless/worst Once I cancelled my account before end of the billing cycle but still they charged my card and clearly refused to refund me the amount which Frustrated me a lot.     3) .SELECTION DEPENDS ON YOUR LOCATION - Netflix provides you a selection while preferring your location.Major drawbacks of this is that on some location content will be very good and on some location it can be very bad.     4) .USER FRIENDLY - Netflix cannot be considered as user-friendly since depending on your data cap Netflix may use all of your data very quickly.     5) .Much of netflix's licensed content are on short term contracts.This means movies and shows are removed and added regularly without any warning and prior notice.     6) .SUBSCRIPTION PLANS - Netflix charges high amount for its subscription plans It's starting plans includes basic plan of r300/month which is much costly.     I STRICTLY RECOMMEND NOT TO PREFER NETFLIX.   
NEVER DISAPPOINTED,Hello friends     My name is Shivam and I have been streaming Netflix since 2018 and on the basis of my experience I am going to share me review upon Netflix. I will discuss about several points which I like and which I don't like here we go.     First of all i would like to discuss about quality of streaming in my personal opinion the quality of pictures are fantastic even in 480p the quality is amazing and I see everything texture and color very clearly even if I increase the quality to 720 no doubt quality of picture is super awesome and I see it consumes less data even in 720p this is all about the result of best data management is also work on auto mode in which the quality is selected according to your speed of internet if the speed is good then it automatically select the 720p of higher 1080p but in my opinion this feature is only for the people who have broadband service because higher quality takes more data.     Moving further now we talking about the series available on the Netflix. There are many famous web series like sacred games sex education stranger things umbrella academy and many more which are exclusively available only on Netflix also there are many movies which are available only on Netflix and the one most important fact about Netflix is every English movies available with subtitles which we Indians like the most to watch movies with English audio and English subtitles.     Additionally the price of subscription are little bit expensive as compared to other streaming applications like amazon prime and Hotstar not every one afford Netflix this is only thing which I dislike about Netflix.     the download option is also available if you want to save for offline and want to watch it later then this option available.     Everything is given for you in settings option in which you simply manage what you want or want you don;t want if you want to stream only on WiFi then its also present and many other options like in which quality you want to download so you can choose the quality option according to you storage.     Netflix also offers you a free trail for a month and you can cancel membership whenever you want there is not any restrictions.     if you want Netflix for your children then this is the bet option for you because it comes with kid mode as a parents you can see what your children search on Netflix.     I hope my friends this review is going to help many people to choose Netflix.     Thank you.   
Netflix Killing The Lockdown,The most popular OTT platform has really taken over the viewership of the majority of households through its top of the line Web Series kicking in every now and then.     They have been coming up with a wide range of critically acclaimed web series of the West now streaming in for the Indian audience. It is easy to subscribe to Netflix and the pricing is also very affordable on a monthly basis if you look at the expense which the whole family can consume as per their preference.     Whenever you get stuck with any subscription or payment issue the Customer Service is prompt and responds aptly in times of need. I am impressed with the Product Quality of their Video content which is delivered in UHD and HD quality. Its a Reliable OTT platform which has a nice fluid interface of its website which is easy to navigate and the Mobile App of Netflix is also equally responsive.   
Best Movie Watching Experience,Netflix is very good and best live movie experience. The picture quality is good and very satisfies with the content   
Great Source Of TV Streaming Entertainment,I have been a member of Netflix for over twenty-five years and it's been a great experience. I enjoy Netflix for its TV streaming and it's outstanding movies and documentaries. There is never a dull moment with Netflix especially during this Covid-19 Pandemic time of quarantine at home. A must have.   
